volunteer,track,date,time,sky,rain,latitude,longitude,closest trap/tracking tunnel,band,new bands,age,sex,# mealworms given,# fed to partner/nestlings/fledglings,# consumed,# cached,interaction,other animal sighting/s,"notes, other activity",trap,lat,lng,aka
jim,Other,2022-11-20,NA,Unspecified,Unspecified,-,-,F-03-20,,,Un,Un,0,-,-,-,Known territory,0,"Only heard the call - need to go again to find nest/range - Single  individual, short song - unlikely a breeding pair.",03,,,
simon,Transient,2022-11-21,NA,Unspecified,Unspecified,-,-,003,,,Un,Un,0,-,-,-,None observed,0,I was checking out a spot where we'd seen a toutouwai previously while weeding.,3,-41.294877101561966,174.7614329945302,
rachel w,Highbury Fling,2022-11-21,NA,Unspecified,Unspecified,-,-,-,,,Un,Un,0,-,-,-,None observed,0,George Denton Park to Lone Pine. Checking location of previous recent sighting (possible fence jumper),-,,,
tracey,Highbury Fling,2022-11-22,6:28-6:59,Unspecified,Unspecified,-,-,-,,,Un,Un,0,-,-,-,None observed,0,"Highbury fling, George denton park to bench and return. Checking by lone pine turnoff in particular due to previous sightings in the area.",-,,,
rachel w,Highbury Fling,2022-11-23,13:00-13:30,Unspecified,Unspecified,-,-,73-62,,,Un,Un,0,-,-,-,None observed,Cat,B&W cat heading into bush at trap 73 near a tieke,73,-41.295721219174766,174.75204963885506,
simon,Highbury Fling,2022-11-24,7:30,Unspecified,Unspecified,-,-,003,,,Un,M,0,-,-,-,None observed,0,"Hung around for ages, couldn't make him come down!",3,,,
lisa,Highbury Fling,2022-11-24,5.30 - 6am,Unspecified,Unspecified,-,-,63,,,,,,-,-,-,None observed,,"Heard a toutouwai calling above Fling, walked up to Roller coaster to find bird calling from inside Zealands fencleine",63,-41.29896942789763,174.7507283955656,
simon,Transient,2022-11-25,7:00,Unspecified,Unspecified,-,-,003,,,Un,M,3,0,2,1,Known territory,0,"I fed him (her?) a couple mealworms which he ate, then he cached the third one.",3,-41.294877101561966,174.7614329945302,
simon,Transient,2022-11-25,7:00,Unspecified,Unspecified,-,-,003,,,Un,M,0,-,-,-,Followed call to territory,0,"Heard him singing his heart out quite high in the big pine, while I was feeding the other one.  This may have been a chaffinch  Annette",3,-41.294877101561966,174.7614329945302,
annette harvey,Transient,2022-11-25,11:00,Unspecified,Unspecified,-,-,003,RW-WM,RW-WM,A,M,5,0,5,0,Banding visit,,Quite shy and not hungry,3,-41.294877101561966,174.7614329945302,
simon,Highbury Fling,2022-11-26,15:30,Overcast,None,-,-,063,RY-GM,,A,Un,0,-,-,-,Incidental,0,"Ran into a bird while on a run, just past Lone Pine",63,-41.29896942789763,174.7507283955656,
rach h,Highbury Fling,2022-11-27,12:50,Overcast,Moderate,41.29863,174.750543,073,,,Un,Un,0,-,-,-,None observed,,"Possible nest opposite T062, about 1m down the bank, no birds seen/heard",73,-41.295721219174766,174.75204963885506,
rachel w,Transient,2022-11-27,13:09,Overcast,Moderate,-,-,003,RW-WM,,A,M,3,0,2,1,Known territory,,Very few other birds,3,-41.294877101561966,174.7614329945302,
rach h,Transient,2022-11-27,13:45,Overcast,Moderate,-,-,-,,,Un,Un,0,-,-,-,None observed,,No birds seen/heard,-,,,
rach h,Other,2022-11-27,14:00,Overcast,Moderate,-,-,-,,,Un,Un,0,-,-,-,None observed,,Track: Upper Ali Way; No birds seen/heard,-,,,
rachel w,Transient,2022-11-28,12:30,Mostly clear,None,-,-,003,RW-WM,,A,M,3,0,3,0,Known territory,,Looking for mystery toutouwai mentioned in similar area but just this guy seen. No one heard,3,-41.294877101561966,174.7614329945302,
rachel w,Pukehinau,2022-11-28,13:10,Mostly clear,None,-,-,KF9,,,,,-,-,-,-,None observed,Titipounamu,Unexpected titipounamu by stream in Pukehinau,KF9,,,
simon,Highbury Fling,2022-11-29,8:00,Overcast,None,-,-,063,,,,,-,-,-,-,None observed,,"I WILL FIND YOU, AND I WILL FEED YOU",63,-41.29896942789763,174.7507283955656,
simon,Midline,2022-11-29,7:30,Overcast,None,-,-,-,,,,,-,-,-,-,None observed,,,-,,,
rachel w,Clinical,2022-11-30,16:20,Partly cloudy,None,-,-,-,,,,,-,-,-,-,None observed,,Checked areas I've seen toutouwai in the past (but not recently). No sign,-,,,
rachel w,Highbury Fling,2022-11-30,17:00,Partly cloudy,None,-,-,063,,,,,-,-,-,-,None observed,,No sign of our elusive fence jumper,63,-41.29896942789763,174.7507283955656,
rachel w,Transient,2022-12-01,12:20,Overcast,None,-,-,003,,,,,-,-,-,-,Known territory,,Call heard in distance. Probably RW-WM but not sighted,3,-41.294877101561966,174.7614329945302,
simon,Transient,2022-12-04,14:30,Mostly clear,None,-,-,003,RW-WM,,Un,M,4,,3,1,Known territory,,Went up to do some weeding. Noticed that right leg band was pushed way up his leg.  This is quite normal.  Annette,3,-41.294877101561966,174.7614329945302,
simon,Highbury Fling,2022-12-06,7:30,Mostly clear,None,-,-,063,,,,,-,-,-,-,None observed,,,63,-41.29896942789763,174.7507283955656,
tracey,Highbury Fling,2022-12-07,18:00,Mostly clear,None,-,-,-,,,,,-,-,-,-,None observed,,George Denton to bench and back. Lots of bikes and blackbirds,-,,,
rachel w,Transient,2022-12-11,10:00,Partly cloudy,None,-,-,003,RW-WM,,A,M,4,,2,2,Known territory,,Heard him from quite a distance today doing  his territorial shout,3,-41.294877101561966,174.7614329945302,
rachel w,Highbury Fling,2022-12-11,10:30,Partly cloudy,None,-,-,063,,,,,-,-,-,-,None observed,Cat,Cat at George Denton park,63,-41.29896942789763,174.7507283955656,
rachel w,Clinical,2022-12-11,10:45,Partly cloudy,None,-,-,080,,,,,-,-,-,-,None observed,"Titipounamu (F), Piwakawaka sitting on nest",,80,-41.29839658382479,174.75177933892206,
rachel w,Clinical,2022-12-13,13:30,Mostly clear,None,-,-,-,,,,,-,-,-,-,None observed,"Titipounamu (F & M), Kakariki",,-,,,
rachel w,Clinical,2022-12-15,19:00,Mostly clear,None,,,080,??-?M,,Un,Un,,,,,Incidental,,Caught on trail camera. Footage was black and white due to low light,80,-41.29839658382479,174.75177933892206,
rachel w,Transient,2022-12-16,12:30,Overcast,None,,,003,RW-WM,,A,M,4,,2,2,Known territory,,Checking he was still around before I went on holiday,3,-41.294877101561966,174.7614329945302,
simon,Highbury Fling,2022-12-17,11:30,Overcast,Light,-,-,063,,,Un,Un,6,,4,2,Followed call to territory,,Followed this young guy a little way down the bank between 62 and 63. He cached a couple in a branch.,63,-41.29896942789763,174.7507283955656,
simon,Highbury Fling,2022-12-17,11:30,Overcast,Light,-,-,072,,,Un,Un,6,,6,,Incidental,,"Ran into this chap on my way home. Seemed like a young guy. Ol' guts ate six worms in a row without blinking. I'm like, 80% sure it wasn't the guy from 63 following me to get a second helping.",72,-41.29597305203546,174.7521137833145,
simon,Clinical,2022-12-17,10:45,Partly cloudy,None,-,-,080,,,,,-,-,-,-,None observed,,"Was checking around where Rachel's camera picked one up, but no luck",80,-41.29839658382479,174.75177933892206,
simon,Other,2022-12-19,11:00,Overcast,Light,,,F-03-20,,,,,,,,,None observed,,"Went on a big off-track mission up Waimapihi, but didn't see or hear anything.",03,,,
annette harvey,Highbury Fling,2022-12-20,8.30-11.30,Overcast,None,,,062-3,,,,,,,,,Banding visit,,Searched all along Fling. Spent over an hour around 62-3. No robins seen or heard,62,-41.29955626741264,174.75077038396424,
annette harvey,Highbury Fling,2022-12-20,8.30-11.31,Overcast,None,,,72,,,,,,,,,Banding visit,,As 72 is so near fence and edge of bush birds seen here are likely to be fence jumpers. Best not to feed them as don't want to encourage them outside the fence. If they are dispersing they will move further into the reserve and be found there.,72,-41.29597305203546,174.7521137833145,
rachael (h),Other,2022-12-22,12:20-12:50,Partly cloudy,None,41.30338,174.75726,036,,,,,0,0,0,0,None observed,,None seen/heard,36,,,
rachael (h),Transient,2022-12-22,13:45,Mostly clear,None,,,003,RW-WM,,A,M,6,0,4,2,Followed call to territory,"Kākā heard, paused feeding until clear","Heard call before approach to bend, attracted with lid tap",3,-41.294877101561966,174.7614329945302,
simon,Transient,2022-12-29,14:30,Overcast,None,,,003,RW-WM,,A,M,0,,,,Incidental,,Was doing some weeding in the area and he came to check me out. Seemed very annoyed not to get any snacks.,3,-41.294877101561966,174.7614329945302,
simon,Transient,2023-01-09,17:30,Overcast,None,,,003,RW-WM,,A,M,0,,,,Incidental,,Weeding again. He was hanging out the whole time.,3,-41.294877101561966,174.7614329945302,
simon,Clinical,2023-01-19,13:30,Mostly clear,None,,,82,,,S,Un,0,,,,Incidental,,Saw this one while on a run. Didn't have my mealworms with me. Might be the same fledgeling I saw up on Fling a while back.,82,-41.2989813808858,174.75224327721347,
simon,Clinical,2023-01-21,8:00,Mostly clear,None,,,82,,,,,0,,,,None observed,,Tried to find this guy again but no luck.,82,-41.2989813808858,174.75224327721347,
rachel w,Transient,2023-01-23,13:00,Partly cloudy,None,,,003,RW-WM,,A,M,5,,4,1,Known territory,,,3,-41.294877101561966,174.7614329945302,
rachel w,Clinical,2023-01-24,12:45,Mostly clear,None,,,,,,,,,,,,None observed,2 x fledgling titipounamu btw trap 82 and 81,,,,,
rachel w,Clinical,2023-01-25,16:50,Partly cloudy,None,41.29895,174.75179,82,,,Un,Un,0,,,,Incidental,Titipounamu in the same spot,Chance encounter. Was right next to the blue marker that's embedded in a tree near trap 81 (on the way to 82),82,-41.2989813808858,174.75224327721347,
rachel w,Clinical,2023-01-26,13:32,Mostly clear,None,41.29661,174.75262,75,,,Un,M,0,,,,Incidental,,"Singing just down the bank from the path. Approached me when I stopped but saw another bird on the other side of the path, flew back and forth a bit before flying over to land next to the other bird",75,-41.296136627552606,174.75283538713302,
rachel w,Clinical,2023-01-26,13:33,Mostly clear,None,41.29661,174.75262,75,,,Un,Un,0,,,,Incidental,,Appeared across the track from the singing toutouwai. Exchanged rapid peeping with the other bird before they both flew away up the hill,75,-41.296136627552606,174.75283538713302,
